fetched_on,referrer,views,uniques
2026-08-21,Google,2,1
2026-08-21,chatgpt.com,1,1
2026-08-21,com.linkedin.android,4,3
2026-08-21,github.com,100,12
2026-08-21,linkedin.com,8,5
2026-08-21,sieportal.siemens.com,1,1
2026-08-21,support.industry.siemens.com,20,1
2026-08-22,Google,2,1
2026-08-22,chatgpt.com,1,1
2026-08-22,com.linkedin.android,24,9
2026-08-22,github.com,115,14
2026-08-22,linkedin.com,33,14
2026-08-22,lnkd.in,2,1
2026-08-22,sieportal.siemens.com,15,2
2026-08-22,support.industry.siemens.com,20,1
